FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
tub,3,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
tuba,4,NC,,,,,2,0.00,0.41,36.09,1,0.00,0.03,24.41,3,0.16,0.27,34.38
tube,4,NC,9,0.57,31.64,55.00,9,0.33,9.78,49.90,37,0.67,18.24,52.61,55,0.69,19.99,53.01
tube,4,VER,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
tubercule,9,NC,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
tubercules,10,NC,,,,,,,,,4,0.31,0.96,39.80,4,0.26,0.58,37.61
tuberculeux,11,ADJ,,,,,,,,,3,0.00,0.07,28.49,3,0.00,0.04,25.71
tuberculose,11,NC,,,,,,,,,2,0.21,0.35,35.43,2,0.17,0.21,33.20
tubes,5,NC,4,0.41,10.60,50.25,5,0.20,3.61,45.57,12,0.50,4.57,46.59,21,0.56,6.33,48.01
tuck,4,NP,,,,,5,0.00,1.71,42.34,,,,,5,0.00,0.06,27.63
tudieu,6,INT,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
tue,3,VER,5,0.63,19.03,52.79,9,0.59,16.19,52.09,23,0.78,13.13,51.18,37,0.78,15.25,51.83
tue,3,ADJ,2,0.00,0.75,38.75,1,0.00,0.09,29.77,2,0.21,0.35,35.44,5,0.33,0.90,39.55
tué,3,VER,5,0.63,19.12,52.81,5,0.63,9.36,49.71,45,0.78,25.51,54.07,55,0.75,21.92,53.41
tué,3,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
tuée,4,VER,,,,,,,,,5,0.40,1.53,41.85,5,0.33,0.93,39.67
tuées,5,VER,,,,,,,,,3,0.19,0.50,36.98,3,0.16,0.30,34.73
tue-mouche,10,ADJ,1,0.00,0.38,35.77,,,,,,,,,1,0.00,0.00,14.88
tue-mouches,11,ADJ,3,0.25,4.83,46.84,,,,,1,0.00,0.02,22.19,4,0.26,0.56,37.45
tuent,5,VER,,,,,5,0.20,3.61,45.57,9,0.66,4.36,46.39,14,0.56,4.19,46.22
tuer,4,VER,9,0.45,26.32,54.20,12,0.79,27.56,54.40,106,0.81,62.33,57.95,127,0.77,51.74,57.14
tuer,4,NP,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
tuera,5,VER,,,,,,,,,4,0.31,0.98,39.91,4,0.26,0.59,37.72
tuerai,6,VER,,,,,1,0.00,0.21,33.29,6,0.30,1.48,41.69,7,0.32,1.26,41.01
tueraient,9,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
tuerait,7,VER,,,,,1,0.00,0.19,32.89,2,0.21,0.34,35.34,3,0.28,0.46,36.60
tueras,6,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
tuèrent,7,VER,1,0.00,0.42,36.25,,,,,1,0.00,0.03,24.69,2,0.17,0.20,32.96
tueries,7,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
tuerons,7,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
tueront,7,VER,,,,,,,,,4,0.42,1.26,41.00,4,0.35,0.76,38.82
tués,4,VER,,,,,2,0.27,1.96,42.93,7,0.52,2.72,44.34,9,0.51,2.46,43.91
tués,4,NC,,,,,,,,,2,0.21,0.35,35.44,2,0.17,0.21,33.21
tueur,5,NC,,,,,1,0.00,0.21,33.29,4,0.17,0.64,38.04,5,0.24,0.70,38.46
tueurs,6,NC,,,,,,,,,5,0.32,1.27,41.03,5,0.26,0.76,38.83
tuez,4,VER,,,,,1,0.00,0.22,33.41,3,0.33,0.77,38.86,4,0.35,0.76,38.82
tufs,4,NC,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
tuile,5,VER,,,,,2,0.00,0.41,36.09,4,0.21,0.65,38.15,2,0.00,0.01,21.38
tuile,5,NC,5,0.37,12.36,50.92,,,,,,,,,9,0.38,1.83,42.63
tuileries,9,NP,,,,,2,0.00,0.39,35.90,5,0.40,1.53,41.85,7,0.39,1.48,41.70
tuileries,9,NC,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
tuiles,6,NC,8,0.47,24.22,53.84,6,0.48,9.01,49.55,6,0.47,2.12,43.26,20,0.61,6.41,48.07
tulipe,6,NC,22,0.57,76.32,58.83,8,0.49,12.32,50.90,15,0.46,5.10,47.08,45,0.62,14.66,51.66
tulipes,7,NC,7,0.31,14.63,51.65,4,0.22,3.61,45.58,9,0.47,3.19,45.03,20,0.54,5.73,47.58
tulipier,8,NC,,,,,,,,,2,0.00,0.03,25.20,2,0.00,0.02,22.41
tulle,5,NC,,,,,,,,,3,0.33,0.78,38.95,3,0.28,0.47,36.75
tulles,6,NC,,,,,,,,,2,0.00,0.10,30.05,2,0.00,0.05,27.27
tuméfié,7,ADJ,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
tuméfié,7,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
tuminularistes,14,NP,,,,,,,,,4,0.00,0.06,27.68,4,0.00,0.03,24.90
tumulte,7,NC,,,,,,,,,5,0.40,1.54,41.87,5,0.33,0.93,39.69
tumultueuse,11,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
tumultueuses,12,ADJ,,,,,,,,,5,0.40,1.55,41.89,5,0.33,0.94,39.71
tunique,7,NC,,,,,2,0.27,1.77,42.49,4,0.42,1.28,41.06,6,0.45,1.45,41.63
tuniques,8,NC,,,,,2,0.00,0.49,36.95,2,0.21,0.36,35.55,4,0.26,0.59,37.69
tunis,5,NP,,,,,,,,,3,0.33,0.78,38.90,3,0.28,0.47,36.70
tunisie,7,NP,4,0.00,2.42,43.84,1,0.00,0.36,35.59,1,0.00,0.03,24.41,6,0.22,0.72,38.57
tunnel,6,NC,7,0.60,25.92,54.14,13,0.54,21.30,53.28,34,0.71,17.64,52.46,54,0.73,20.84,53.19
tunnels,7,NC,,,,,5,0.41,6.78,48.31,3,0.19,0.51,37.08,8,0.39,1.71,42.33
tuoootu,7,NP,,,,,,,,,2,0.00,0.06,27.70,2,0.00,0.03,24.92
tuques,6,NC,,,,,2,0.00,0.69,38.36,,,,,2,0.00,0.02,23.65
turban,6,NC,,,,,,,,,7,0.35,1.94,42.88,7,0.29,1.17,40.69
turbine,7,NC,,,,,2,0.00,0.44,36.42,,,,,2,0.00,0.01,21.71
turbines,8,NC,,,,,1,0.00,0.22,33.41,1,0.00,0.03,25.43,2,0.17,0.20,33.08
turbot,6,NC,,,,,,,,,2,0.21,0.34,35.31,2,0.17,0.20,33.09
turbulence,10,NC,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
turbulent,9,ADJ,,,,,,,,,9,0.61,4.08,46.10,9,0.51,2.48,43.94
turbulents,10,ADJ,,,,,,,,,2,0.21,0.33,35.23,2,0.17,0.20,33.02
turc,4,ADJ,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
turcs,5,NP,,,,,,,,,4,0.17,0.56,37.48,4,0.14,0.33,35.25
turcus,6,NP,,,,,,,,,14,0.00,0.32,35.06,14,0.00,0.17,32.28
turent,6,VER,,,,,1,0.00,0.09,29.77,5,0.48,1.81,42.58,6,0.45,1.45,41.62
turin,5,NP,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
turlupine,9,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
turlutenfants,13,NP,1,0.00,0.50,37.03,,,,,,,,,1,0.00,0.00,16.14
turlutins,9,NP,6,0.00,3.03,44.81,,,,,,,,,6,0.00,0.02,23.92
turlututu,9,INT,13,0.00,4.91,46.91,,,,,1,0.00,0.02,22.72,14,0.06,0.52,37.16
turneham,8,NP,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
turque,6,ADJ,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
turquie,7,NP,,,,,1,0.00,0.36,35.59,12,0.52,4.67,46.69,13,0.47,3.30,45.18
turquoise,9,ADJ,,,,,1,0.00,0.25,33.94,2,0.21,0.34,35.27,3,0.28,0.46,36.59
tus,3,VER,,,,,,,,,4,0.42,1.29,41.11,4,0.35,0.78,38.93
tut,3,VER,,,,,,,,,21,0.67,10.42,50.18,21,0.56,6.34,48.02
tuteur,6,NC,,,,,1,0.00,0.07,28.63,4,0.31,0.99,39.97,5,0.33,0.92,39.65
tutoie,6,VER,,,,,,,,,2,0.00,0.04,25.73,2,0.00,0.02,22.95
tutoyaient,10,VER,,,,,1,0.00,0.36,35.59,,,,,1,0.00,0.01,20.87
tutoyait,8,VER,,,,,,,,,2,0.21,0.33,35.20,2,0.17,0.20,32.99
tutoyant,8,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
tutoyer,7,VER,1,0.00,0.43,36.31,,,,,2,0.21,0.37,35.66,3,0.28,0.47,36.70
tutoyez,7,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
tutoyons,8,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
tutti frutti,12,ADV,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
tutu,4,NC,1,0.00,0.30,34.73,1,0.00,0.21,33.29,3,0.00,0.06,27.49,3,0.28,0.45,36.50
tutu,4,NP,,,,,,,,,1,0.00,0.02,22.55,3,0.00,0.03,24.71
tutus,5,NC,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
tuwi,4,NP,,,,,,,,,3,0.00,0.07,28.73,3,0.00,0.04,25.94
tuyau,5,NC,30,0.87,152.98,61.85,14,0.60,25.14,54.00,11,0.64,5.24,47.19,55,0.76,22.02,53.43
tuyauté,7,VER,,,,,,,,,2,0.21,0.34,35.35,2,0.17,0.21,33.13
tuyauterie,10,NC,,,,,,,,,1,0.00,0.02,22.49,1,0.00,0.01,19.71
tuyauteries,11,NC,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
tuyautés,8,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
tuyaux,6,NC,,,,,6,0.34,6.69,48.25,8,0.52,3.13,44.96,14,0.51,3.85,45.86
tuyères,7,NC,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
tv,2,NP,,,,,1,0.00,0.22,33.41,4,0.42,1.27,41.04,5,0.40,1.10,40.41
tva,3,NP,,,,,,,,,2,0.00,0.06,27.42,2,0.00,0.03,24.64
tweed,5,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
twingo,6,NP,1,0.00,0.52,37.18,,,,,,,,,1,0.00,0.00,16.29
tyltyl,6,NP,,,,,,,,,60,0.00,1.12,40.50,60,0.00,0.59,37.72
tympan,6,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
tympans,7,NC,,,,,,,,,2,0.21,0.35,35.50,2,0.17,0.21,33.26
type,4,NC,2,0.27,3.96,45.98,5,0.41,6.59,48.19,73,0.87,45.85,56.61,80,0.77,32.45,55.11
types,5,NC,,,,,1,0.00,0.20,33.08,45,0.73,23.94,53.79,46,0.62,15.20,51.82
typhoïde,8,NC,1,0.00,0.30,34.73,,,,,2,0.21,0.36,35.56,3,0.28,0.46,36.66
typhon,6,NC,,,,,1,0.00,0.34,35.35,2,0.00,0.06,27.42,3,0.16,0.28,34.55
typique,7,ADJ,,,,,,,,,5,0.32,1.24,40.93,5,0.26,0.75,38.74
typiques,8,ADJ,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
tyr,3,NP,,,,,,,,,16,0.00,0.40,36.00,16,0.00,0.21,33.21
tyran,5,NC,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
tyrannosaure,12,NC,,,,,3,0.00,0.64,38.06,,,,,3,0.00,0.02,23.35
tyrans,6,NC,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
tyrol,5,NP,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
tyrolien,8,NC,,,,,,,,,2,0.00,0.09,29.60,2,0.00,0.05,26.82
tyroliens,9,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
tzigane,7,ADJ,,,,,,,,,2,0.21,0.36,35.55,2,0.17,0.21,33.31
tziganes,8,NP,,,,,,,,,3,0.00,0.14,31.31,3,0.00,0.07,28.53
ubayette,8,NP,,,,,,,,,6,0.00,0.21,33.22,6,0.00,0.11,30.43
uderzo,6,NP,,,,,,,,,9,0.21,1.63,42.12,9,0.17,0.97,39.87
ugolin,6,NP,,,,,,,,,6,0.14,0.83,39.22,6,0.11,0.49,36.90
ukrainienne,11,ADJ,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
ukrainiennes,12,ADJ,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
ulcère,6,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
ulcéré,6,ADJ,,,,,,,,,3,0.19,0.44,36.48,3,0.16,0.27,34.27
ulcères,7,NC,,,,,,,,,2,0.21,0.35,35.40,2,0.17,0.21,33.17
ulémas,6,NC,,,,,,,,,2,0.00,0.10,30.05,2,0.00,0.05,27.27
ultime,6,ADJ,,,,,,,,,4,0.31,1.01,40.04,4,0.26,0.61,37.83
ultimes,7,ADJ,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
ultra,5,ADJ,,,,,,,,,7,0.47,2.44,43.87,7,0.39,1.48,41.70
ultra,5,NC,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
ultramoderne,12,ADJ,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
ultraperfectionné,17,ADJ,,,,,,,,,2,0.00,0.05,26.95,2,0.00,0.03,24.17
ultra-rapide,12,ADJ,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
ultrasons,9,NC,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
ultra-sons,10,NC,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
ultraviolets,12,NC,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
ultraviolette,13,ADJ,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
ulule,5,VER,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
ululent,7,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
ulysse,6,NP,,,,,,,,,32,0.17,4.62,46.64,32,0.14,2.75,44.39
umney,5,NP,,,,,,,,,3,0.00,0.09,29.46,3,0.00,0.05,26.68
un,2,DET,5 085,0.97,28 807.19,84.60,6 286,0.97,17 351.62,82.39,23 131,0.97,16 276.06,82.12,34 502,0.97,17 483.20,82.43
un,2,PRO,556,0.84,2 766.65,74.42,420,0.85,1 035.17,70.15,870,0.93,587.95,67.69,1 846,0.92,890.87,69.50
un,2,ADJ,10,0.57,35.69,55.52,37,0.91,96.31,59.84,114,0.93,76.73,58.85,161,0.90,75.77,58.80
un,2,NP,,,,,,,,,37,0.25,7.14,48.54,37,0.21,4.31,46.34
unanimement,11,ADV,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
unanimité,9,NC,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
une,3,DET,3 698,0.95,20 528.37,83.12,4 176,0.97,11 606.65,80.65,14 309,0.97,10 061.32,80.03,22 183,0.97,11 266.38,80.52
une,3,PRO,21,0.78,97.37,59.88,76,0.95,205.74,63.13,329,0.94,223.17,63.49,426,0.90,201.90,63.05
une,3,ADJ,3,0.25,5.56,47.45,17,0.79,39.27,55.94,45,0.77,25.23,54.02,65,0.77,26.48,54.23
unes,4,PRO,4,0.41,10.63,50.26,1,0.00,0.20,33.08,28,0.80,16.27,52.11,33,0.72,12.61,51.01
unesco,6,NP,,,,,1,0.00,0.17,32.34,5,0.00,0.17,32.42,6,0.11,0.44,36.45
uni,3,ADJ,,,,,,,,,4,0.42,1.27,41.03,4,0.35,0.77,38.85
uni,3,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
unicolore,9,ADJ,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
unie,4,VER,,,,,1,0.00,0.34,35.35,4,0.42,1.29,41.09,3,0.16,0.31,34.85
unie,4,ADJ,,,,,,,,,2,0.00,0.10,30.05,4,0.35,0.78,38.91
unième,6,ADJ,,,,,1,0.00,0.25,33.94,2,0.21,0.34,35.32,3,0.28,0.46,36.61
unies,5,ADJ,,,,,,,,,7,0.35,1.91,42.82,7,0.29,1.16,40.63
unifiés,7,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
uniforme,8,NC,5,0.37,11.94,50.77,1,0.00,0.36,35.59,10,0.59,4.41,46.45,16,0.59,5.04,47.03
uniforme,8,ADJ,,,,,,,,,8,0.50,3.00,44.77,8,0.42,1.82,42.60
uniformément,12,ADV,,,,,,,,,2,0.21,0.35,35.41,2,0.17,0.21,33.18
uniformes,9,ADJ,,,,,,,,,2,0.21,0.35,35.45,1,0.00,0.01,21.57
uniformes,9,NC,,,,,,,,,1,0.00,0.03,24.35,2,0.17,0.21,33.22
uniformité,10,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
union,5,NC,1,0.00,0.61,37.82,,,,,23,0.60,10.22,50.09,24,0.52,6.75,48.29
unique,6,ADJ,,,,,6,0.39,7.80,48.92,49,0.88,31.23,54.95,55,0.77,22.30,53.48
uniquement,10,ADV,,,,,9,0.68,17.90,52.53,52,0.80,30.44,54.83,61,0.74,23.90,53.78
uniques,7,ADJ,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
unir,4,VER,,,,,,,,,8,0.32,2.06,43.13,8,0.27,1.24,40.93
uniraient,9,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
unirent,7,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
unis,4,ADJ,,,,,1,0.00,0.36,35.59,3,0.33,0.77,38.89,4,0.35,0.77,38.85
unis,4,VER,,,,,1,0.00,0.22,33.41,1,0.00,0.03,24.69,2,0.17,0.20,33.03
unissaient,10,VER,,,,,,,,,4,0.31,0.97,39.85,4,0.26,0.58,37.66
unissais,8,VER,,,,,,,,,2,0.00,0.05,26.63,2,0.00,0.02,23.85
unissait,8,VER,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
unissant,8,VER,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
unissent,8,VER,,,,,,,,,2,0.21,0.36,35.61,2,0.17,0.22,33.37
unissiez,8,VER,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
unissions,9,VER,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
unisson,7,NC,2,0.00,0.76,38.78,1,0.00,0.36,35.59,1,0.00,0.03,25.43,4,0.26,0.57,37.58
unit,4,VER,,,,,1,0.00,0.34,35.35,3,0.19,0.47,36.73,4,0.26,0.58,37.65
unité,5,NC,,,,,,,,,255,0.28,57.64,57.61,255,0.24,34.70,55.40
unités,6,NC,,,,,,,,,12,0.34,3.09,44.90,12,0.28,1.87,42.72
univers,7,NC,1,0.00,0.62,37.95,,,,,32,0.76,17.79,52.50,33,0.65,11.41,50.57
universel,9,ADJ,,,,,,,,,2,0.21,0.34,35.29,2,0.17,0.20,33.08
universelle,11,ADJ,,,,,,,,,5,0.48,1.83,42.62,5,0.40,1.11,40.45
universitaire,13,ADJ,,,,,,,,,2,0.00,0.09,29.60,1,0.00,0.02,21.90
universitaire,13,NC,,,,,,,,,1,0.00,0.03,24.69,2,0.00,0.05,26.82
université,10,NC,,,,,,,,,13,0.46,4.49,46.52,13,0.38,2.72,44.35
universités,11,NC,,,,,,,,,3,0.33,0.78,38.94,3,0.28,0.47,36.75
uns,3,PRO,7,0.50,21.93,53.41,19,0.70,39.07,55.92,81,0.89,52.39,57.19,107,0.84,47.25,56.74
uon,3,PRO,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
upplande,8,NP,,,,,,,,,3,0.00,0.10,30.21,3,0.00,0.06,27.42
uranus,6,NP,,,,,,,,,10,0.51,3.78,45.77,10,0.43,2.29,43.60
urashima,8,NP,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
urbain,6,ADJ,,,,,,,,,2,0.21,0.35,35.39,2,0.17,0.21,33.17
urbain,6,NP,1,0.00,0.52,37.18,,,,,,,,,1,0.00,0.00,16.29
urban,5,NP,,,,,,,,,3,0.00,0.09,29.46,3,0.00,0.05,26.67
urbanisation,12,NC,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
urbanisme,9,NC,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
urgence,7,NC,,,,,,,,,17,0.75,9.34,49.70,17,0.63,5.68,47.55
urgences,8,NC,,,,,2,0.00,0.41,36.09,2,0.21,0.35,35.44,4,0.26,0.58,37.64
urgent,6,ADJ,,,,,4,0.27,3.91,45.92,20,0.63,9.21,49.64,24,0.58,7.38,48.68
urgente,7,ADJ,1,0.00,0.61,37.82,,,,,4,0.31,0.99,39.98,5,0.33,0.93,39.66
urgentes,8,ADJ,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
urgents,7,ADJ,,,,,1,0.00,0.22,33.41,3,0.19,0.50,37.03,4,0.26,0.60,37.75
urgo,4,NP,,,,,4,0.00,0.99,39.96,,,,,4,0.00,0.03,25.24
urine,5,NC,,,,,,,,,3,0.33,0.76,38.83,3,0.28,0.46,36.64
uriner,6,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
urne,4,NC,,,,,1,0.00,0.21,33.29,5,0.29,1.12,40.48,6,0.31,1.03,40.12
urnes,5,NC,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
urss,4,NP,,,,,,,,,18,0.27,3.86,45.86,18,0.22,2.32,43.65
ursula,6,NP,1,0.00,0.38,35.77,,,,,,,,,1,0.00,0.00,14.88
ursule,6,NP,1,0.00,0.53,37.27,,,,,9,0.30,2.11,43.24,10,0.31,1.69,42.29
urticaire,9,NC,,,,,,,,,2,0.00,0.09,29.60,2,0.00,0.05,26.82
urubu,5,NC,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
uruguay,7,NP,,,,,1,0.00,0.17,32.34,2,0.00,0.06,27.70,3,0.16,0.28,34.50
us,2,NP,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
usa,3,NP,,,,,,,,,4,0.31,1.02,40.08,4,0.26,0.61,37.88
usa,3,VER,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
usage,5,NC,,,,,4,0.41,5.17,47.13,25,0.75,13.80,51.40,29,0.68,10.47,50.20
usagé,5,ADJ,,,,,,,,,2,0.21,0.36,35.55,2,0.17,0.21,33.31
usagée,6,ADJ,,,,,,,,,3,0.33,0.77,38.87,3,0.28,0.47,36.68
usagées,7,ADJ,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
usager,6,NC,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
usagers,7,NC,,,,,,,,,3,0.19,0.51,37.06,3,0.16,0.30,34.81
usages,6,NC,,,,,,,,,5,0.32,1.27,41.03,5,0.26,0.76,38.83
usaient,7,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
usait,5,VER,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
use,3,VER,1,0.00,0.62,37.95,,,,,4,0.42,1.29,41.09,5,0.40,1.11,40.44
usé,3,ADJ,2,0.27,3.80,45.79,,,,,9,0.57,3.78,45.77,11,0.54,3.16,44.99
usé,3,VER,,,,,,,,,4,0.42,1.29,41.10,4,0.35,0.78,38.92
usée,4,VER,,,,,1,0.00,0.23,33.69,4,0.17,0.54,37.35,5,0.24,0.66,38.18
usées,5,VER,1,0.00,0.30,34.73,3,0.43,4.07,46.10,2,0.21,0.33,35.20,6,0.45,1.44,41.58
usées,5,ADJ,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
usent,5,VER,,,,,3,0.25,2.61,44.16,,,,,3,0.16,0.27,34.30
user,4,VER,,,,,1,0.00,0.19,32.89,15,0.53,5.99,47.77,16,0.47,4.12,46.15
userait,7,VER,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
usés,4,ADJ,,,,,2,0.00,0.15,31.64,4,0.17,0.57,37.54,6,0.25,0.84,39.23
usés,4,VER,,,,,1,0.00,0.34,35.35,3,0.19,0.50,37.03,4,0.26,0.60,37.77
ushuari,7,NP,,,,,,,,,2,0.00,0.05,26.63,2,0.00,0.02,23.85
usine,5,NC,4,0.22,6.82,48.34,7,0.60,12.66,51.03,43,0.78,24.47,53.89,54,0.74,21.11,53.24
usinées,7,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
usines,6,NC,2,0.27,3.85,45.85,3,0.43,4.02,46.04,7,0.44,2.37,43.74,12,0.55,3.55,45.50
ustensile,9,NC,,,,,2,0.27,1.84,42.66,9,0.50,3.39,45.31,11,0.49,2.92,44.66
ustensiles,10,NC,2,0.00,1.05,40.19,2,0.27,1.85,42.67,10,0.65,4.79,46.81,14,0.61,4.56,46.59
usuel,5,ADJ,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
usuelle,7,ADJ,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
usuels,6,ADJ,,,,,,,,,6,0.37,1.75,42.42,6,0.31,1.05,40.23
usure,5,NC,,,,,,,,,3,0.33,0.77,38.86,3,0.28,0.46,36.67
ut,2,NC,,,,,1,0.00,0.17,32.34,,,,,1,0.00,0.01,17.62
utelle,6,NP,,,,,,,,,5,0.00,0.12,30.93,5,0.00,0.07,28.15
utile,5,ADJ,8,0.29,16.75,52.24,6,0.70,12.36,50.92,56,0.88,35.80,55.54,70,0.81,29.81,54.74
utile,5,NC,3,0.25,5.38,47.31,2,0.27,1.92,42.84,13,0.63,6.05,47.82,18,0.62,5.94,47.74
utilement,9,ADV,,,,,,,,,2,0.21,0.36,35.51,2,0.17,0.21,33.28
utiles,6,ADJ,2,0.27,3.83,45.84,9,0.80,20.77,53.17,13,0.67,6.43,48.08,24,0.74,9.35,49.71
utilisa,7,VER,,,,,,,,,4,0.42,1.27,41.05,4,0.35,0.77,38.87
utilisable,10,ADJ,,,,,,,,,3,0.33,0.77,38.89,3,0.28,0.47,36.70
utilisables,11,ADJ,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
utilisaient,11,VER,,,,,2,0.00,0.44,36.42,7,0.44,2.33,43.67,9,0.42,2.04,43.09
utilisait,9,VER,,,,,,,,,11,0.57,4.68,46.70,11,0.47,2.84,44.54
utilisant,9,VER,,,,,31,0.48,46.71,56.69,113,0.70,58.25,57.65,144,0.66,50.26,57.01
utilisateurs,12,NC,,,,,,,,,3,0.19,0.46,36.65,3,0.16,0.28,34.43
utilisation,11,NC,1,0.00,0.52,37.18,2,0.27,1.98,42.98,18,0.66,8.70,49.40,21,0.61,6.85,48.36
